"# refugeeswelcome","597","0"
"illegal immigrants","562","0"
"immigration ban","481","0"
"# refugees","474","0"
"syrian refugees","453","0"
"donald trump","370","165588"
"# nobannowall","370","1393"
"# immigration","341","0"
"# muslimban","274","2010"
"illegal immigration","254","0"
"# trump","232","29054"
"# buildthewall","231","0"
"refugee ban","220","0"
"refugee crisis","212","0"
"syrian refugee","196","0"
"# withrefugees","192","0"
"# refugee","177","0"
"immigration policy","171","0"
"# debatenight","170","15606"
"# immigrants","161","0"
